RefDes     X          Y          Rot.       Exact     (FREE)    Side
C3N        10572.5000 10590.0000 180        EXACT     (FREE)    Top                           
C3O        10572.5000 9590.0000  180        EXACT     (FREE)    Top                           
C3P        10572.5000 8590.0000  180        EXACT     (FREE)    Top                           
C3Q        10572.5000 7590.0000  180        EXACT     (FREE)    Top                           
C3R        10572.5000 6590.0000  180        EXACT     (FREE)    Top                           
C3S        10572.5000 5590.0000  180        EXACT     (FREE)    Top                           
C3T        10572.5000 4590.0000  180        EXACT     (FREE)    Top                           
C3U        10572.5000 3590.0000  180        EXACT     (FREE)    Top                           
C3V        10572.5000 2590.0000  180        EXACT     (FREE)    Top                           
C3W        10572.5000 1590.0000  180        EXACT     (FREE)    Top                           
C3X        10572.5000 590.0000   180        EXACT     (FREE)    Top                           
C4         2040.0000  715.0000   000        EXACT     (FREE)    Top                           
C4A        1580.0000  675.0000   090        EXACT     (FREE)    Top                           
C4B        1580.0000  1675.0000  090        EXACT     (FREE)    Top                           
C4C        1580.0000  2675.0000  090        EXACT     (FREE)    Top                           
C4D        1580.0000  3675.0000  090        EXACT     (FREE)    Top                           
C4E        1580.0000  4675.0000  090        EXACT     (FREE)    Top                           
C4F        1580.0000  5675.0000  090        EXACT     (FREE)    Top                           
C4G        1580.0000  6675.0000  090        EXACT     (FREE)    Top                           
C4H        1580.0000  7675.0000  090        EXACT     (FREE)    Top                           
C4I        1580.0000  8675.0000  090        EXACT     (FREE)    Top                           
C4J        1580.0000  9675.0000  090        EXACT     (FREE)    Top                           
C4K        1580.0000  10675.0000 090        EXACT     (FREE)    Top                           
C4L        1580.0000  11675.0000 090        EXACT     (FREE)    Top                           
C4M        10420.0000 11575.0000 270        EXACT     (FREE)    Top                           
C4N        10420.0000 10575.0000 270        EXACT     (FREE)    Top                           
C4O        10420.0000 9575.0000  270        EXACT     (FREE)    Top                           
C4P        10420.0000 8575.0000  270        EXACT     (FREE)    Top                           
C4Q        10420.0000 7575.0000  270        EXACT     (FREE)    Top                           
C4R        10420.0000 6575.0000  270        EXACT     (FREE)    Top                           
C4S        10420.0000 5575.0000  270        EXACT     (FREE)    Top                           
C4T        10420.0000 4575.0000  270        EXACT     (FREE)    Top                           
C4U        10420.0000 3575.0000  270        EXACT     (FREE)    Top                           
C4V        10420.0000 2575.0000  270        EXACT     (FREE)    Top                           
C4W        10420.0000 1575.0000  270        EXACT     (FREE)    Top                           
C4X        10420.0000 575.0000   270        EXACT     (FREE)    Top                           
C5         2380.0000  1970.0000  000        EXACT     (FREE)    Bottom                        
C5A        2040.0000  780.0000   180        EXACT     (FREE)    Top                           
C5B        2040.0000  1780.0000  180        EXACT     (FREE)    Top                           
C5C        2040.0000  2780.0000  180        EXACT     (FREE)    Top                           
C5D        2040.0000  3780.0000  180        EXACT     (FREE)    Top                           
C5E        2040.0000  4780.0000  180        EXACT     (FREE)    Top                           
C5F        2040.0000  5780.0000  180        EXACT     (FREE)    Top                           
C5G        2040.0000  6780.0000  180        EXACT     (FREE)    Top                           
C5H        2040.0000  7780.0000  180        EXACT     (FREE)    Top                           
C5I        2040.0000  8780.0000  180        EXACT     (FREE)    Top                           
C5J        2040.0000  9780.0000  180        EXACT     (FREE)    Top                           
C5K        2040.0000  10780.0000 180        EXACT     (FREE)    Top                           
C5L        2040.0000  11780.0000 180        EXACT     (FREE)    Top                           
C5M        9960.0000  11470.0000 000        EXACT     (FREE)    Top                           
C5N        9960.0000  10470.0000 000        EXACT     (FREE)    Top                           
C5O        9960.0000  9470.0000  000        EXACT     (FREE)    Top                           
C5P        9960.0000  8470.0000  000        EXACT     (FREE)    Top                           
C5Q        9960.0000  7470.0000  000        EXACT     (FREE)    Top                           
C5R        9960.0000  6470.0000  000        EXACT     (FREE)    Top                           
C5S        9960.0000  5470.0000  000        EXACT     (FREE)    Top                           
C5T        9960.0000  4470.0000  000        EXACT     (FREE)    Top                           
C5U        9960.0000  3470.0000  000        EXACT     (FREE)    Top                           
C5V        9960.0000  2470.0000  000        EXACT     (FREE)    Top                           
C5W        9960.0000  1470.0000  000        EXACT     (FREE)    Top                           
C5X        9960.0000  470.0000   000        EXACT     (FREE)    Top                           
C6         2184.0000  895.0000   135        EXACT     (FREE)    Top                           
C6A        1030.0000  530.0000   270        EXACT     (FREE)    Top                           
C6B        1030.0000  1530.0000  270        EXACT     (FREE)    Top                           
C6C        1030.0000  2530.0000  270        EXACT     (FREE)    Top                           
C6D        1030.0000  3530.0000  270        EXACT     (FREE)    Top                           
C6E        1030.0000  4530.0000  270        EXACT     (FREE)    Top                           
C6F        1030.0000  5530.0000  270        EXACT     (FREE)    Top                           
C6G        1030.0000  6530.0000  270        EXACT     (FREE)    Top                           
C6H        1030.0000  7530.0000  270        EXACT     (FREE)    Top                           
C6I        1030.0000  8530.0000  270        EXACT     (FREE)    Top                           
C6J        1030.0000  9530.0000  270        EXACT     (FREE)    Top                           
C6K        1030.0000  10530.0000 270        EXACT     (FREE)    Top                           
C6L        1030.0000  11530.0000 270        EXACT     (FREE)    Top                           
C6M        10970.0000 11720.0000 090        EXACT     (FREE)    Top                           
C6N        10970.0000 10720.0000 090        EXACT     (FREE)    Top                           
C6O        10970.0000 9720.0000  090        EXACT     (FREE)    Top                           
C6P        10970.0000 8720.0000  090        EXACT     (FREE)    Top                           
C6Q        10970.0000 7720.0000  090        EXACT     (FREE)    Top                           
C6R        10970.0000 6720.0000  090        EXACT     (FREE)    Top                           
C6S        10970.0000 5720.0000  090        EXACT     (FREE)    Top                           
C6T        10970.0000 4720.0000  090        EXACT     (FREE)    Top                           
C6U        10970.0000 3720.0000  090        EXACT     (FREE)    Top                           
C6V        10970.0000 2720.0000  090        EXACT     (FREE)    Top                           
C6W        10970.0000 1720.0000  090        EXACT     (FREE)    Top                           
C6X        10970.0000 720.0000   090        EXACT     (FREE)    Top                           
C7         1220.0000  150.0000   090        EXACT     (FREE)    Top                           
C7A        1160.0000  340.0000   270        EXACT     (FREE)    Top                           
C7B        1160.0000  1340.0000  270        EXACT     (FREE)    Top                           
C7C        1160.0000  2340.0000  270        EXACT     (FREE)    Top                           
C7D        1160.0000  3340.0000  270        EXACT     (FREE)    Top                           
C7E        1160.0000  4340.0000  270        EXACT     (FREE)    Top                           
C7F        1160.0000  5340.0000  270        EXACT     (FREE)    Top                           
C7G        1160.0000  6340.0000  270        EXACT     (FREE)    Top                           
C7H        1160.0000  7340.0000  270        EXACT     (FREE)    Top                           
C7I        1160.0000  8340.0000  270        EXACT     (FREE)    Top                           
C7J        1160.0000  9340.0000  270        EXACT     (FREE)    Top                           
C7K        1160.0000  10340.0000 270        EXACT     (FREE)    Top                           
C7L        1160.0000  11340.0000 270        EXACT     (FREE)    Top                           
C7M        10840.0000 11910.0000 090        EXACT     (FREE)    Top                           
C7N        10840.0000 10910.0000 090        EXACT     (FREE)    Top                           
C7O        10840.0000 9910.0000  090        EXACT     (FREE)    Top                           
C7P        10840.0000 8910.0000  090        EXACT     (FREE)    Top                           
C7Q        10840.0000 7910.0000  090        EXACT     (FREE)    Top                           
C7R        10840.0000 6910.0000  090        EXACT     (FREE)    Top                           
C7S        10840.0000 5910.0000  090        EXACT     (FREE)    Top                           
C7T        10840.0000 4910.0000  090        EXACT     (FREE)    Top                           
C7U        10840.0000 3910.0000  090        EXACT     (FREE)    Top                           
C7V        10840.0000 2910.0000  090        EXACT     (FREE)    Top                           
C7W        10840.0000 1910.0000  090        EXACT     (FREE)    Top                           
C7X        10840.0000 910.0000   090        EXACT     (FREE)    Top                           
C8         1035.0000  130.0000   180        EXACT     (FREE)    Top                           
C8A        1310.0000  340.0000   270        EXACT     (FREE)    Top                           
C8B        1310.0000  1340.0000  270        EXACT     (FREE)    Top                           
C8C        1310.0000  2340.0000  270        EXACT     (FREE)    Top                           
C8D        1310.0000  3340.0000  270        EXACT     (FREE)    Top                           
C8E        1310.0000  4340.0000  270        EXACT     (FREE)    Top                           
C8F        1310.0000  5340.0000  270        EXACT     (FREE)    Top                           
C8G        1310.0000  6340.0000  270        EXACT     (FREE)    Top                           
C8H        1310.0000  7340.0000  270        EXACT     (FREE)    Top                           
C8I        1310.0000  8340.0000  270        EXACT     (FREE)    Top                           
C8J        1310.0000  9340.0000  270        EXACT     (FREE)    Top                           
C8K        1310.0000  10340.0000 270        EXACT     (FREE)    Top                           
C8L        1310.0000  11340.0000 270        EXACT     (FREE)    Top                           
C8M        10690.0000 11910.0000 090        EXACT     (FREE)    Top                           
C8N        10690.0000 10910.0000 090        EXACT     (FREE)    Top                           
C8O        10690.0000 9910.0000  090        EXACT     (FREE)    Top                           
C8P        10690.0000 8910.0000  090        EXACT     (FREE)    Top                           
C8Q        10690.0000 7910.0000  090        EXACT     (FREE)    Top                           
C8R        10690.0000 6910.0000  090        EXACT     (FREE)    Top                           
C8S        10690.0000 5910.0000  090        EXACT     (FREE)    Top                           
C8T        10690.0000 4910.0000  090        EXACT     (FREE)    Top                           
C8U        10690.0000 3910.0000  090        EXACT     (FREE)    Top                           
C8V        10690.0000 2910.0000  090        EXACT     (FREE)    Top                           
C8W        10690.0000 1910.0000  090        EXACT     (FREE)    Top                           
C8X        10690.0000 910.0000   090        EXACT     (FREE)    Top                           
C9         2210.0000  921.0000   135        EXACT     (FREE)    Top                           
C9A        1400.9798  275.9872   270        EXACT     (FREE)    Bottom                        
C9B        1400.9798  1275.9872  270        EXACT     (FREE)    Bottom                        
C9C        1400.9798  2275.9872  270        EXACT     (FREE)    Bottom                        
C9D        1400.9798  3275.9872  270        EXACT     (FREE)    Bottom                        
C9E        1400.9798  4275.9872  270        EXACT     (FREE)    Bottom                        
C9F        1400.9798  5275.9872  270        EXACT     (FREE)    Bottom                        
C9G        1400.9798  6275.9872  270        EXACT     (FREE)    Bottom                        
C9H        1400.9798  7275.9872  270        EXACT     (FREE)    Bottom                        
C9I        1400.9798  8275.9872  270        EXACT     (FREE)    Bottom                        
C9J        1400.9798  9275.9872  270        EXACT     (FREE)    Bottom                        
C9K        1400.9798  10275.9872 270        EXACT     (FREE)    Bottom                        
C9L        1400.9798  11275.9872 270        EXACT     (FREE)    Bottom                        
C9M        10599.0202 11974.0128 090        EXACT     (FREE)    Bottom                        
C9N        10599.0202 10974.0128 090        EXACT     (FREE)    Bottom                        
C9O        10599.0202 9974.0128  090        EXACT     (FREE)    Bottom                        
C9P        10599.0202 8974.0128  090        EXACT     (FREE)    Bottom                        
C9Q        10599.0202 7974.0128  090        EXACT     (FREE)    Bottom                        
C9R        10599.0202 6974.0128  090        EXACT     (FREE)    Bottom                        
C9S        10599.0202 5974.0128  090        EXACT     (FREE)    Bottom                        
C9T        10599.0202 4974.0128  090        EXACT     (FREE)    Bottom                        
C9U        10599.0202 3974.0128  090        EXACT     (FREE)    Bottom                        
C9V        10599.0202 2974.0128  090        EXACT     (FREE)    Bottom                        
C9W        10599.0202 1974.0128  090        EXACT     (FREE)    Bottom                        
C9X        10599.0202 974.0128   090        EXACT     (FREE)    Bottom                        
C10        1835.9100  1612.6000  270        EXACT     (FREE)    Top                           
C10A       1495.9798  380.9872   090        EXACT     (FREE)    Bottom                        
C10B       1495.9798  1380.9872  090        EXACT     (FREE)    Bottom                        
C10C       1495.9798  2380.9872  090        EXACT     (FREE)    Bottom                        
C10D       1495.9798  3380.9872  090        EXACT     (FREE)    Bottom                        
C10E       1495.9798  4380.9872  090        EXACT     (FREE)    Bottom                        
C10F       1495.9798  5380.9872  090        EXACT     (FREE)    Bottom                        
C10G       1495.9798  6380.9872  090        EXACT     (FREE)    Bottom                        
C10H       1495.9798  7380.9872  090        EXACT     (FREE)    Bottom                        
C10I       1495.9798  8380.9872  090        EXACT     (FREE)    Bottom                        
C10J       1495.9798  9380.9872  090        EXACT     (FREE)    Bottom                        
C10K       1495.9798  10380.9872 090        EXACT     (FREE)    Bottom                        
C10L       1495.9798  11380.9872 090        EXACT     (FREE)    Bottom                        
C10M       10504.0202 11869.0128 270        EXACT     (FREE)    Bottom                        
C10N       10504.0202 10869.0128 270        EXACT     (FREE)    Bottom                        
C10O       10504.0202 9869.0128  270        EXACT     (FREE)    Bottom                        
C10P       10504.0202 8869.0128  270        EXACT     (FREE)    Bottom                        
C10Q       10504.0202 7869.0128  270        EXACT     (FREE)    Bottom                        
C10R       10504.0202 6869.0128  270        EXACT     (FREE)    Bottom                        
C10S       10504.0202 5869.0128  270        EXACT     (FREE)    Bottom                        
C10T       10504.0202 4869.0128  270        EXACT     (FREE)    Bottom                        
C10U       10504.0202 3869.0128  270        EXACT     (FREE)    Bottom                        
C10V       10504.0202 2869.0128  270        EXACT     (FREE)    Bottom                        
C10W       10504.0202 1869.0128  270        EXACT     (FREE)    Bottom                        
C10X       10504.0202 869.0128   270        EXACT     (FREE)    Bottom                        
C11        2042.0656  1601.9344  000        EXACT     (FREE)    Top                           
C11A       1540.9798  380.9872   270        EXACT     (FREE)    Bottom                        
C11B       1540.9798  1380.9872  270        EXACT     (FREE)    Bottom                        
C11C       1540.9798  2380.9872  270        EXACT     (FREE)    Bottom                        
C11D       1540.9798  3380.9872  270        EXACT     (FREE)    Bottom                        
C11E       1540.9798  4380.9872  270        EXACT     (FREE)    Bottom                        
C11F       1540.9798  5380.9872  270        EXACT     (FREE)    Bottom                        
C11G       1540.9798  6380.9872  270        EXACT     (FREE)    Bottom                        
C11H       1540.9798  7380.9872  270        EXACT     (FREE)    Bottom                        
C11I       1540.9798  8380.9872  270        EXACT     (FREE)    Bottom                        
C11J       1540.9798  9380.9872  270        EXACT     (FREE)    Bottom                        
C11K       1540.9798  10380.9872 270        EXACT     (FREE)    Bottom                        
C11L       1540.9798  11380.9872 270        EXACT     (FREE)    Bottom                        
C11M       10459.0202 11869.0128 090        EXACT     (FREE)    Bottom                        
C11N       10459.0202 10869.0128 090        EXACT     (FREE)    Bottom                        
C11O       10459.0202 9869.0128  090        EXACT     (FREE)    Bottom                        
C11P       10459.0202 8869.0128  090        EXACT     (FREE)    Bottom                        
C11Q       10459.0202 7869.0128  090        EXACT     (FREE)    Bottom                        
C11R       10459.0202 6869.0128  090        EXACT     (FREE)    Bottom                        
C11S       10459.0202 5869.0128  090        EXACT     (FREE)    Bottom                        
C11T       10459.0202 4869.0128  090        EXACT     (FREE)    Bottom                        
C11U       10459.0202 3869.0128  090        EXACT     (FREE)    Bottom                        
C11V       10459.0202 2869.0128  090        EXACT     (FREE)    Bottom                        
C11W       10459.0202 1869.0128  090        EXACT     (FREE)    Bottom                        
C11X       10459.0202 869.0128   090        EXACT     (FREE)    Bottom                        
C12        2040.0000  1715.0000  000        EXACT     (FREE)    Top                           
C12A       1665.9798  180.9872   180        EXACT     (FREE)    Bottom                        
C12B       1665.9798  1180.9872  180        EXACT     (FREE)    Bottom                        
C12C       1665.9798  2180.9872  180        EXACT     (FREE)    Bottom                        
C12D       1665.9798  3180.9872  180        EXACT     (FREE)    Bottom                        
C12E       1665.9798  4180.9872  180        EXACT     (FREE)    Bottom                        
C12F       1665.9798  5180.9872  180        EXACT     (FREE)    Bottom                        
C12G       1665.9798  6180.9872  180        EXACT     (FREE)    Bottom                        
C12H       1665.9798  7180.9872  180        EXACT     (FREE)    Bottom                        
C12I       1665.9798  8180.9872  180        EXACT     (FREE)    Bottom                        
C12J       1665.9798  9180.9872  180        EXACT     (FREE)    Bottom                        
C12K       1665.9798  10180.9872 180        EXACT     (FREE)    Bottom                        
C12L       1665.9798  11180.9872 180        EXACT     (FREE)    Bottom                        
C12M       10334.0202 12069.0128 000        EXACT     (FREE)    Bottom                        
C12N       10334.0202 11069.0128 000        EXACT     (FREE)    Bottom                        
C12O       10334.0202 10069.0128 000        EXACT     (FREE)    Bottom                        
C12P       10334.0202 9069.0128  000        EXACT     (FREE)    Bottom                        
C12Q       10334.0202 8069.0128  000        EXACT     (FREE)    Bottom                        
C12R       10334.0202 7069.0128  000        EXACT     (FREE)    Bottom                        
C12S       10334.0202 6069.0128  000        EXACT     (FREE)    Bottom                        
C12T       10334.0202 5069.0128  000        EXACT     (FREE)    Bottom                        
C12U       10334.0202 4069.0128  000        EXACT     (FREE)    Bottom                        
C12V       10334.0202 3069.0128  000        EXACT     (FREE)    Bottom                        
C12W       10334.0202 2069.0128  000        EXACT     (FREE)    Bottom                        
C12X       10334.0202 1069.0128  000        EXACT     (FREE)    Bottom                        
C13        2184.0000  1895.0000  135        EXACT     (FREE)    Top                           
C13A       1740.9798  320.9872   090        EXACT     (FREE)    Bottom                        
C13B       1740.9798  1320.9872  090        EXACT     (FREE)    Bottom                        
C13C       1740.9798  2320.9872  090        EXACT     (FREE)    Bottom                        
C13D       1740.9798  3320.9872  090        EXACT     (FREE)    Bottom                        
C13E       1740.9798  4320.9872  090        EXACT     (FREE)    Bottom                        
C13F       1740.9798  5320.9872  090        EXACT     (FREE)    Bottom                        
C13G       1740.9798  6320.9872  090        EXACT     (FREE)    Bottom                        
C13H       1740.9798  7320.9872  090        EXACT     (FREE)    Bottom                        
C13I       1740.9798  8320.9872  090        EXACT     (FREE)    Bottom                        
C13J       1740.9798  9320.9872  090        EXACT     (FREE)    Bottom                        
C13K       1740.9798  10320.9872 090        EXACT     (FREE)    Bottom                        
C13L       1740.9798  11320.9872 090        EXACT     (FREE)    Bottom                        
C13M       10259.0202 11929.0128 270        EXACT     (FREE)    Bottom                        
C13N       10259.0202 10929.0128 270        EXACT     (FREE)    Bottom                        
C13O       10259.0202 9929.0128  270        EXACT     (FREE)    Bottom                        
C13P       10259.0202 8929.0128  270        EXACT     (FREE)    Bottom                        
C13Q       10259.0202 7929.0128  270        EXACT     (FREE)    Bottom                        
C13R       10259.0202 6929.0128  270        EXACT     (FREE)    Bottom                        
C13S       10259.0202 5929.0128  270        EXACT     (FREE)    Bottom                        
C13T       10259.0202 4929.0128  270        EXACT     (FREE)    Bottom                        
C13U       10259.0202 3929.0128  270        EXACT     (FREE)    Bottom                        
C13V       10259.0202 2929.0128  270        EXACT     (FREE)    Bottom                        
C13W       10259.0202 1929.0128  270        EXACT     (FREE)    Bottom                        
C13X       10259.0202 929.0128   270        EXACT     (FREE)    Bottom                        
C14        1220.0000  1150.0000  090        EXACT     (FREE)    Top                           
C14A       1580.9798  470.9872   000        EXACT     (FREE)    Bottom                        
C14B       1580.9798  1470.9872  000        EXACT     (FREE)    Bottom                        
C14C       1580.9798  2470.9872  000        EXACT     (FREE)    Bottom                        
